,State/UT,Geo_Area(GA),2019_Assessment_VDF,2019_Assessment_Total_Forest_Cover,per_of_GA,change_in_forest_cover_wrt_ISFR_2017,change_1_per_wrt_ISFR_2017,scrub,2019_Assessment_MDF,2019_Assessment_OF
0,Andhra Pradesh,162968,1994.0,29137.0,17.88,990.0,3.52,8255.0,13938.0,13205.0
1,Arunachal Pradesh,83743,21095.0,66688.0,79.63,-276.0,-0.41,229.0,30557.0,15036.0
2,Assam,78438,2795.0,28327.0,36.11,222.0,0.79,173.0,10279.0,15253.0
3,Bihar,94163,333.0,7306.0,7.76,7.0,0.1,250.0,3280.0,3693.0
4,Chhattisgarh,135192,7068.0,55611.0,41.13,64.0,0.12,610.0,32198.0,16345.0
5,Delhi,1483,6.72,195.44,13.18,3.03,1.57,0.3,56.42,132.3
6,Goa,3702,538.0,2237.0,60.43,8.0,0.36,0.0,576.0,1123.0
7,Gujarat,196244,378.0,14857.0,7.57,100.0,0.68,2994.0,5092.0,9387.0
8,Haryana,44212,28.0,1602.0,3.62,14.0,0.88,154.0,451.0,1123.0
9,Himachal  Pradesh,55673,3113.0,15434.0,27.72,334.0,2.21,315.0,7126.0,5195.0
10,UT of J&K,53258,4203.0,21122.0,39.66,348.0,1.68,250.0,7952.0,8967.0
11,Jammu & UT of,169421,78.0,2490.0,1.47,23.0,0.93,298.0,660.0,1752.0
12,J&K Total,222236,4281.0,23612.0,10.62,371.0,1.6,548.0,8612.0,10719.0
13,Jharkhand,79716,2603.0,23611.0,29.62,58.0,0.25,688.0,9687.0,11321.0
14,Karnataka,191791,4501.0,38575.0,20.11,1025.0,2.73,4484.0,21048.0,13026.0
15,Kerala,38852,1935.0,21144.0,54.42,823.0,4.05,13.0,9508.0,9701.0
16,Madhya Pradesh,308252,6676.0,77482.0,25.14,68.0,0.09,6002.0,34341.0,36465.0
17,Maharashtra,307713,8721.0,50778.0,16.5,96.0,0.19,4256.0,20572.0,21485.0
18,Manipur,22327,905.0,16847.0,75.46,-499.0,-2.88,1181.0,6386.0,9556.0
19,Meghalaya,22429,489.0,17119.0,76.33,-27.0,-0.16,600.0,9267.0,7363.0
20,Mizoram,21081,157.0,18006.0,85.41,-180.0,-0.99,1.0,5801.0,12048.0
21,Nagaland,16579,1273.0,12486.0,75.31,-3.0,-0.02,635.0,4534.0,6679.0
22,Odisha,155707,6970.0,51619.0,33.15,274.0,0.53,4327.0,21552.0,23097.0
23,Punjab,50362,8.0,1849.0,3.67,12.0,0.65,33.0,801.0,1040.0
24,Rajasthan,342239,78.0,16630.0,4.86,58.0,0.35,4760.0,4342.0,12210.0
25,Sikkim,7096,1102.0,3342.0,47.1,-2.0,-0.06,307.0,1552.0,688.0
26,Tamil Nadu,130060,3605.0,26364.0,20.27,83.0,0.32,715.0,11030.0,11729.0
27,Telangana,112077,1608.0,20582.0,18.36,163.0,0.8,3615.0,8787.0,10187.0
28,Tripura,10486,654.0,7726.0,73.68,0.0,0.0,29.0,5236.0,1836.0
29,Uttar Pradesh,240928,2617.0,14806.0,6.15,127.0,0.87,587.0,4080.0,8109.0
30,Uttarakhand,53483,5047.0,24303.0,45.44,8.0,0.03,383.0,12805.0,6451.0
31,West Bengal,88752,3019.0,16902.0,19.04,55.0,0.33,146.0,4160.0,9723.0
32,A & N Islands,8249,5678.0,6743.0,81.74,1.0,0.01,1.0,684.0,381.0
33,Chandigarh,114,1.36,22.03,19.32,0.47,2.18,0.1,14.24,6.43
34,Dadra & Nagar Haveli,491,0.0,207.0,42.16,0.0,0.0,5.0,80.0,127.0
35,Daman & Diu,111,1.4,20.49,18.46,0.0,0.0,0.19,5.69,13.4
36,Lakshadweep,30,0.0,27.1,90.33,0.0,0.0,0.0,16.09,11.01
37,Puducherry,490,0.0,52.41,10.7,-1.26,-2.35,0.0,17.66,34.75
38,Total,3287469,99278.0,712249.0,21.67,3976.0,0.56,46297.0,308472.0,304499.0
